VLAN,NODE,Int,PATH,tn,AP,Dom,Alias,SUBNET,VRF,L3OUT
1142,1683-1684,Server-vPC42-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1683-1684,Server-vPC41-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1683-1684,Server-vPC40-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1693-1694,Server-vPC39-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1693-1694,Server-vPC44-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1583-1584,Server-vPC12-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1583-1584,Server-vPC15-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1513-1514,Server-vPC3-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1513-1514,Server-vPC15-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1513-1514,Server-vPC12-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1513-1514,Server-vPC9-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1513-1514,Server-vPC6-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1383-1384,Server-vPC10-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1233-1234,Server-vPC26-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1183-1184,Server-vPC9-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1193-1194,Server-vPC37-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1193-1194,Server-vPC40-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1173-1174,Server-vPC45-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
1142,1093-1094,Server-vPC39-IfPolGrp,protpaths,mgmt,Mgmt-AP,Mgmt,FTP-Server,240b:c0e0:102:5476::FFFF/64,inb,MGMT-NX-INTER-FABRIC-L3OUT
